ID PERSONA,Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price
1,BUENO,9,RENTADA,60,30,CASADO,NO,FREELANCER,73,129,0,0,800,846
2,BUENO,17,RENTADA,60,58,VIUDO,NO,FIJO,48,131,0,0,1000,1658
3,MALO,10,PROPIA,36,46,CASADO,SÍ,FREELANCER,90,200,3000,0,2000,2985
4,BUENO,0,RENTADA,60,24,SOLTERO,NO,FIJO,63,182,2500,0,900,1325
5,BUENO,0,RENTADA,36,26,SOLTERO,NO,FIJO,46,107,0,0,310,910
6,BUENO,1,PROPIA,60,36,CASADO,NO,FIJO,75,214,3500,0,650,1645
7,BUENO,29,PROPIA,60,44,CASADO,NO,FIJO,75,125,10000,0,1600,1800
8,BUENO,9,PADRES,12,27,SOLTERO,NO,FIJO,35,80,0,0,200,1093
9,BUENO,0,PROPIA,60,32,CASADO,NO,FREELANCER,90,107,15000,0,1200,1957
10,MALO,0,PADRES,48,41,CASADO,NO,MEDIO TIEMPO,90,80,0,0,1200,1468
11,BUENO,6,PROPIA,48,34,CASADO,NO,FREELANCER,60,125,4000,0,1150,1577
12,BUENO,7,PROPIA,36,29,CASADO,NO,FIJO,60,121,3000,0,650,915
13,BUENO,8,PROPIA,60,30,CASADO,NO,FIJO,75,199,5000,2500,1500,1650
14,BUENO,19,PRIVADA,36,37,CASADO,NO,FIJO,75,170,3500,260,600,940
15,MALO,0,OTRO,18,21,SOLTERO,SÍ,MEDIO TIEMPO,35,50,0,0,400,500
16,BUENO,0,PROPIA,24,68,CASADO,NO,FIJO,75,131,4162,0,900,1186
17,BUENO,15,PRIVADA,24,52,SOLTERO,NO,FREELANCER,35,330,16500,0,1500,2201
18,BUENO,33,RENTADA,24,68,CASADO,NO,FREELANCER,65,200,5000,2000,600,1350
19,MALO,0,NO DIJO ,48,36,CASADO,NO,MEDIO TIEMPO,45,130,750,0,1100,1511
20,BUENO,1,PADRES,60,31,SOLTERO,NO,FIJO,35,137,0,0,1250,1253
21,MALO,2,RENTADA,60,25,SOLTERO,NO,FIJO,46,107,0,0,1500,2189
22,BUENO,5,PROPIA,60,22,SOLTERO,NO,FIJO,45,324,10000,0,1100,1159
23,MALO,1,PROPIA,60,45,CASADO,NO,MEDIO TIEMPO,105,112,2000,500,600,1332
24,BUENO,27,RENTADA,60,41,CASADO,NO,FIJO,74,140,0,0,950,1497
25,BUENO,26,PROPIA,60,51,CASADO,NO,FIJO,45,143,3500,0,1350,1357
26,BUENO,12,PROPIA,36,54,CASADO,NO,FIJO,60,130,4000,0,700,2100
27,BUENO,19,PROPIA,60,43,SOLTERO,NO,FIJO,75,180,4000,0,1000,1070
28,BUENO,15,PROPIA,36,43,CASADO,NO,FIJO,75,251,4000,0,1800,2557
29,MALO,3,PROPIA,24,23,CASADO,NO,FIJO,75,85,5000,0,600,1600
30,MALO,0,NA,48,37,SOLTERO,NO,NA,35,0,0,0,1500,1850
31,BUENO,4,PROPIA,48,29,CASADO,NO,FIJO,45,150,5000,3300,1100,1312
32,MALO,0,PROPIA,36,23,SOLTERO,NO,MEDIO TIEMPO,45,122,2500,0,400,400
33,BUENO,14,PRIVADA,24,51,CASADO,NO,MEDIO TIEMPO,75,198,1000,0,450,650
34,BUENO,10,PROPIA,36,39,CASADO,NO,FREELANCER,75,150,3000,0,1000,1394
35,BUENO,12,PADRES,36,35,SOLTERO,NO,FIJO,35,170,0,0,1100,1542
36,BUENO,32,PROPIA,24,62,CASADO,NO,FREELANCER,45,119,8500,0,700,1200
37,BUENO,10,PROPIA,24,56,CASADO,NO,FREELANCER,45,208,13500,0,500,1560
38,BUENO,7,PROPIA,48,32,CASADO,NO,FIJO,75,115,3000,0,800,1200
39,MALO,1,RENTADA,54,36,CASADO,NO,FIJO,70,99,0,0,950,950
40,BUENO,30,PROPIA,60,64,CASADO,NO,FIJO,45,120,14000,0,1125,1300
41,MALO,5,RENTADA,48,31,SOLTERO,NO,FIJO,44,90,0,0,1300,1700
42,BUENO,24,PROPIA,60,42,CASADO,NO,FIJO,75,137,4000,0,900,1167
43,BUENO,0,PROPIA,60,61,VIUDO,NO,OTRO,35,230,50000,0,950,1150
44,MALO,0,PROPIA,60,32,CASADO,SÍ,FIJO,45,142,7000,3000,1250,1566
45,MALO,2,PROPIA,60,43,CASADO,NO,MEDIO TIEMPO,75,71,3000,0,1500,1552
46,BUENO,1,PADRES,60,26,SOLTERO,NO,MEDIO TIEMPO,35,120,0,0,1150,1300
47,BUENO,1,PROPIA,60,49,VIUDO,NO,FREELANCER,35,233,15900,4500,2100,2104
48,BUENO,15,PROPIA,36,47,CASADO,NO,FIJO,75,289,3500,0,1500,2154
49,MALO,2,RENTADA,36,27,SEPARADO,NO,FIJO,48,128,0,0,450,545
50,BUENO,25,PROPIA,36,52,CASADO,NO,FREELANCER,60,150,15000,0,750,1778
51,BUENO,8,PROPIA,60,28,CASADO,NO,FIJO,60,145,4000,1000,1600,1718
52,BUENO,5,PROPIA,60,31,CASADO,NO,FIJO,75,90,4000,0,900,1500
53,BUENO,0,RENTADA,60,32,CASADO,NO,FIJO,105,301,0,0,1200,1274
54,BUENO,5,PROPIA,36,51,CASADO,NO,FREELANCER,75,200,2100,1200,900,1015
55,BUENO,3,PADRES,12,37,CASADO,NO,FREELANCER,60,150,500,0,500,1701
56,MALO,1,RENTADA,48,29,CASADO,SÍ,FREELANCER,85,100,0,0,1000,1345
57,BUENO,7,PADRES,60,26,SOLTERO,NO,FIJO,35,100,0,0,1000,1238
58,BUENO,4,PADRES,30,27,SOLTERO,NO,FIJO,45,100,5000,0,500,1048
59,BUENO,6,PROPIA,24,63,CASADO,NO,FIJO,60,155,4000,0,600,1048
60,BUENO,14,PROPIA,24,55,CASADO,NO,FIJO,90,715,5000,0,800,1324
61,BUENO,3,RENTADA,60,28,CASADO,NO,FIJO,70,245,0,0,1830,2201
62,BUENO,8,RENTADA,48,31,CASADO,NO,FIJO,90,150,0,0,1100,1430
63,MALO,4,PADRES,42,27,SOLTERO,NO,FIJO,35,70,0,0,600,926
64,BUENO,22,PROPIA,24,40,CASADO,NO,FIJO,75,190,3000,0,1000,1500
65,BUENO,2,PROPIA,36,35,CASADO,NO,FIJO,75,152,3000,0,1000,1542
66,BUENO,15,PRIVADA,60,43,CASADO,NO,FIJO,75,126,3000,0,1350,1360
